n_trial,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,wheel_rotation
1,Prioritise1,0,square,circle,cross,triangle,"0.854028730639278,0.2336538600688729,-1.0","-0.10032491436032498,0.45768874039972984,0.3817396096664756","1.0,-0.045861603138592444,-1.0","0.1184165720364383,0.4719787961363635,-0.6454646836219573",91,222,51,156,"0.854028730639278,0.2336538600688729,-1.0",91,270
2,Prioritise3,2,square,cross,triangle,circle,"1.0,-0.19319706407583936,0.20612000948251996","0.9165223056430671,0.08531838961047389,0.5804719469242157","1.0,-0.14892208927791584,-0.7642951287839744","-0.10674528321075638,0.4597702151299572,0.3704541436797111",335,298,37,221,"1.0,-0.14892208927791584,-0.7642951287839744",37,338
3,Prioritise2,2,circle,cross,triangle,square,"1.0,-0.045861603138592444,-1.0","1.0,0.14454808295369936,-1.0","1.0,-0.2914084206358549,-0.1716625835351976","0.7481042841002781,0.28401253410301863,-1.0",51,77,2,100,"1.0,-0.2914084206358549,-0.1716625835351976",2,88
4,Prioritise1,3,square,circle,cross,triangle,"-0.04273264564935253,0.4921547641531523,-0.29008164886068233","1.0,-0.266139671692747,-0.3844942650329082","1.0,-0.1801231371030828,0.23165973332613699","0.6823545184579658,0.19890605819631269,0.6567852503614975",175,16,333,282,"0.6823545184579658,0.19890605819631269,0.6567852503614975",282,261
5,Prioritise3,3,square,circle,cross,triangle,"0.1184165720364383,0.4719787961363635,-0.6454646836219573","-0.15218698220497417,0.491399065672369,0.0550849709310266","1.0,-0.1453950522675579,0.29343624696038684","0.35978173682339754,0.41977397962065344,-1.0",156,197,328,133,"0.35978173682339754,0.41977397962065344,-1.0",133,113
6,NoPrioritise,3,square,circle,triangle,cross,"1.0,-0.04666697700988032,0.4375655321668761","1.0,-0.2541916545294901,-0.43193236346031305","1.0,0.12391818455152381,-1.0","0.5217173616076898,0.3714436344565344,-1.0",315,19,74,119,"0.5217173616076898,0.3714436344565344,-1.0",119,296
7,Prioritise1,2,triangle,cross,circle,square,"1.0,-0.23006636068103248,-0.5135224369802548","0.19781922438295352,0.4574422518266765,-0.8818361039644314","0.8314067698500829,0.129644828397681,0.6162087510840306","0.6048714455845987,0.34221696469187823,-1.0",24,148,292,112,"0.8314067698500829,0.129644828397681,0.6162087510840306",292,164
8,Prioritise4,0,triangle,square,circle,cross,"0.3446475566939091,0.32593623267112437,0.6573177271493604","0.23950483221035568,0.4487573681220651,-1.0","1.0,-0.18262560807777894,-0.6564771422547051","1.0,-0.2784883645829067,-0.04031082501765193",260,144,32,353,"0.3446475566939091,0.32593623267112437,0.6573177271493604",260,73
9,Prioritise2,3,circle,square,triangle,cross,"-0.1481252589400609,0.4756545429797898,0.26153874370652797","0.2081252941518954,0.4553611512282272,-0.9356957589344492","0.011345098196205106,0.4870029319956142,-0.41073039696963887","0.27079222332264496,0.349525727356639,0.6402021298134932",212,147,168,255,"0.27079222332264496,0.349525727356639,0.6402021298134932",255,277
10,NoPrioritise,0,square,triangle,cross,circle,"0.8656291340184048,0.2277117481201254,-1.0","1.0,-0.1558548551326704,-0.7405909184559469","-0.1598212484830719,0.4866460428277808,0.1409432704458322","0.003196340864616065,0.48789947231709707,-0.3930376390559923",90,36,203,169,"0.8656291340184048,0.2277117481201254,-1.0",90,338
11,Prioritise4,1,circle,square,cross,triangle,"0.35978173682339754,0.41977397962065344,-1.0","1.0,0.11693500061052231,-1.0","1.0,-0.18672585607811187,0.21894575397790916","1.0,-0.13481497066722903,-0.8172789642511413",133,73,334,39,"1.0,0.11693500061052231,-1.0",73,338
12,NoPrioritise,2,cross,circle,triangle,square,"0.4204673865307198,0.3003640950728248,0.6680936776579738","1.0,-0.18904346603826983,-0.637249894721835","1.0,-0.2288330890480459,0.12700076968242469","0.9439739668489959,0.07017173146500566,0.5667550331301558",265,31,341,300,"1.0,-0.2288330890480459,0.12700076968242469",341,16
13,Prioritise4,2,square,triangle,circle,cross,"0.9788490541088481,0.1646703741338249,-1.0","0.10890282843090082,0.4735368131811257,-0.6233623294930688","1.0,-0.18672585607811187,0.21894575397790916","0.08211922552252782,0.40518924666980105,0.5597871012004456",80,157,334,241,"1.0,-0.18672585607811187,0.21894575397790916",334,80
14,NoPrioritise,1,circle,square,cross,triangle,"-0.09478536258948067,0.49485771099788134,-0.15929400236046964","1.0,-0.20571451687417974,0.18014638001872707","1.0,-0.21911833444213913,-0.5474132739956148","0.2607905457923898,0.44405077031286466,-1.0",183,337,26,142,"1.0,-0.20571451687417974,0.18014638001872707",337,105
15,Prioritise4,3,square,triangle,cross,circle,"1.0,-0.2914084206358549,-0.1716625835351976","0.9973143857544444,0.03943765994348003,0.5367265506444097","0.02803139784776887,0.4850479085911541,-0.44669070010662637","0.45139045294854396,0.393779284417197,-1.0",2,304,166,125,"0.45139045294854396,0.393779284417197,-1.0",125,30
16,Prioritise3,0,triangle,circle,cross,square,"1.0,-0.05449202187079283,0.427438243059558","0.13253781604398185,0.3908200528647623,0.5874938236427092","0.5593128013847881,0.24938009178326226,0.6713213889936891","1.0,-0.03828278687151976,-1.0",316,245,274,52,"1.0,-0.05449202187079283,0.427438243059558",316,281
17,Prioritise3,1,square,circle,triangle,cross,"1.0,-0.18672585607811187,0.21894575397790916","1.0,-0.2759589912597996,-0.3378595329546661","0.22896995211020998,0.45101907426419996,-1.0","1.0,-0.03882752461224859,0.44751763152896373",334,13,145,314,"1.0,-0.2759589912597996,-0.3378595329546661",13,202
18,Prioritise2,0,square,cross,triangle,circle,"0.697563521415238,0.19227379976898162,0.6538323072937366","0.2607905457923898,0.44405077031286466,-1.0","0.7243026375027783,0.2944273290124073,-1.0","-0.13746749759655974,0.49384364036211803,-0.01935357496354817",283,142,102,192,"0.697563521415238,0.19227379976898162,0.6538323072937366",283,2
19,Prioritise2,1,cross,circle,triangle,square,"0.697563521415238,0.19227379976898162,0.6538323072937366","1.0,-0.19319706407583936,0.20612000948251996","0.6048714455845987,0.34221696469187823,-1.0","0.12802681261339854,0.47036395437091305,-0.6683938146358337",283,335,112,155,"1.0,-0.19319706407583936,0.20612000948251996",335,80
20,Prioritise1,1,cross,triangle,circle,square,"0.8744524420551003,0.1077067653533772,0.5993718879433354","1.0,0.0885108071490186,-1.0","-0.15325530146069954,0.47850880592239364,0.23567289266690317","0.2715377535601935,0.44160513045338035,-1.0",295,69,210,141,"1.0,0.0885108071490186,-1.0",69,325
