n_trial,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,wheel_rotation
1,Prioritise1,0,cross,triangle,square,circle,"-0.0889322071979689,0.49470485377678974,-0.17530036558846096","1.0,-0.04666697700988032,0.4375655321668761","1.0,-0.25779156666188097,0.04465505589445962","-0.045760705841983884,0.4412666063320212,0.45569155140365925",182,315,347,229,"-0.0889322071979689,0.49470485377678974,-0.17530036558846096",182,23
2,Prioritise4,1,square,circle,triangle,cross,"0.4282253351913974,0.40067838587068505,-1.0","0.15891936573799903,0.3831804895186659,0.5999565135488085","0.697563521415238,0.19227379976898162,0.6538323072937366","0.1673887875274096,0.46333008938060627,-0.7729226224565875",127,247,283,151,"0.15891936573799903,0.3831804895186659,0.5999565135488085",247,310
3,Prioritise2,3,circle,cross,triangle,square,"-0.15087465470231598,0.47711162872615454,0.24867635980838454","1.0,-0.28331765203541326,-0.06912673399707303","0.4282253351913974,0.40067838587068505,-1.0","0.9788490541088481,0.1646703741338249,-1.0",211,355,127,80,"0.9788490541088481,0.1646703741338249,-1.0",80,326
4,Prioritise1,2,triangle,cross,circle,square,"0.3937919637711427,0.41052389502637143,-1.0","0.3446475566939091,0.32593623267112437,0.6573177271493604","1.0,-0.1159761024614836,0.3405028198215041","1.0,-0.2541916545294901,-0.43193236346031305",130,260,324,19,"1.0,-0.1159761024614836,0.3405028198215041",324,67
5,NoPrioritise,0,square,circle,triangle,cross,"-0.1552691192795369,0.47984650043174004,0.22253130766167373","-0.07663707943429687,0.49424057193593485,-0.2075945922293636","0.5335383805596645,0.36747902832868284,-1.0","1.0,-0.28715474606071,-0.26149890951485844",209,180,118,8,"-0.1552691192795369,0.47984650043174004,0.22253130766167373",209,143
6,Prioritise2,0,circle,cross,square,triangle,"1.0,-0.24898244687401672,0.0724226931177736","0.9001622899209403,0.20948101299508481,-1.0","0.47470490157818523,0.38660875671905104,-1.0","0.06286533759988822,0.4804846395944975,-0.5215000541421746",345,87,123,162,"1.0,-0.24898244687401672,0.0724226931177736",345,209
7,NoPrioritise,1,cross,triangle,circle,square,"0.1377313063497616,0.46869198128419454,-0.6923217342230605","1.0,0.13084904670314157,-1.0","0.49743207809976986,0.2728177294164349,0.672458831583457","-0.1598212484830719,0.4866460428277808,0.1409432704458322",154,75,270,203,"1.0,0.13084904670314157,-1.0",75,189
8,Prioritise3,3,square,circle,triangle,cross,"0.4665589352747248,0.2840716923699367,0.6714844115718321","1.0,-0.1159761024614836,0.3405028198215041","1.0,-0.29113614091237483,-0.20140827106110581","0.8423878648894922,0.2395276862660105,-1.0",268,324,4,92,"0.8423878648894922,0.2395276862660105,-1.0",92,227
9,Prioritise4,1,cross,triangle,square,circle,"1.0,-0.21761393967782516,0.1537648375256555","0.38240568475417525,0.4136729392938614,-1.0","1.0,-0.07783297952557244,0.3960373748090056","0.09441071644993415,0.40170970408167506,0.5670564126145141",339,131,319,242,"0.38240568475417525,0.4136729392938614,-1.0",131,317
10,Prioritise2,2,square,cross,triangle,circle,"1.0,0.029697581538389972,-1.0","1.0,-0.12042756170577695,-0.8836340589512358","0.28235212283095645,0.4390974279014652,-1.0","-0.07115460775268467,0.4487065849390661,0.42510855757080535",61,41,140,226,"0.28235212283095645,0.4390974279014652,-1.0",140,326
11,Prioritise3,2,square,triangle,circle,cross,"1.0,0.029697581538389972,-1.0","-0.01269399205840449,0.48953144240138324,-0.3581525544909092","0.4204673865307198,0.3003640950728248,0.6680936776579738","0.024156992038590452,0.42147876676365525,0.5201127943356356",61,171,265,236,"0.4204673865307198,0.3003640950728248,0.6680936776579738",265,94
12,NoPrioritise,2,square,triangle,circle,cross,"1.0,-0.04666697700988032,0.4375655321668761","-0.12966480223349675,0.49444262706220066,-0.04980752507879116","1.0,-0.2812391217555803,-0.30713162009795525","-0.02724900693809007,0.43596400275120595,0.47511170232003863",315,190,11,231,"1.0,-0.2812391217555803,-0.30713162009795525",11,13
13,NoPrioritise,0,cross,circle,triangle,square,"-0.15218698220497417,0.491399065672369,0.0550849709310266","1.0,-0.25779156666188097,0.04465505589445962","0.3485477954945324,0.4227267056127266,-1.0","1.0,-0.283482916447115,-0.29186272671519153",197,347,134,10,"-0.15218698220497417,0.491399065672369,0.0550849709310266",197,299
14,Prioritise3,2,triangle,cross,square,circle,"1.0,0.023895135487088437,0.520455959599228","0.6670955436242052,0.20546863097446266,0.6594879335101997","0.6885060196604067,0.3095143481419429,-1.0","-0.04985376064386149,0.4926777683571715,-0.2733707743273047",306,281,105,176,"0.6885060196604067,0.3095143481419429,-1.0",105,271
15,Prioritise4,3,circle,square,triangle,cross,"0.8885895249151152,0.10029123080933622,0.593298310174416","-0.15425303278284086,0.49074605836511664,0.06966808771232391","0.07004997715874661,0.40859431628906884,0.5522929170622126","0.07186027412725471,0.47920645949573504,-0.5409731165987569",296,198,240,161,"0.07186027412725471,0.47920645949573504,-0.5409731165987569",161,62
16,Prioritise3,3,circle,cross,triangle,square,"1.0,0.007155954649565421,-1.0","1.0,-0.2810383691272422,-0.05469022987079308","1.0,-0.2541916545294901,-0.43193236346031305","-0.12966480223349675,0.49444262706220066,-0.04980752507879116",58,354,19,190,"-0.12966480223349675,0.49444262706220066,-0.04980752507879116",190,65
17,Prioritise3,1,square,circle,triangle,cross,"1.0,-0.23930972970484676,0.09987881270213972","-0.07663707943429687,0.49424057193593485,-0.2075945922293636","1.0,-0.16269839246793216,-0.7181852224820324","1.0,0.13084904670314157,-1.0",343,180,35,75,"-0.07663707943429687,0.49424057193593485,-0.2075945922293636",180,61
18,NoPrioritise,0,triangle,square,circle,cross,"0.45139045294854396,0.393779284417197,-1.0","1.0,-0.19319706407583936,0.20612000948251996","0.5128942075651803,0.26707393527284795,0.6725600501236935","1.0,-0.26238457869240295,-0.4002073564444957",125,335,271,17,"0.45139045294854396,0.393779284417197,-1.0",125,192
