n_trial,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,wheel_rotation
1,Prioritise2,0,triangle,square,cross,circle,"-0.15691856372514257,0.4811251279442219,0.20925454252068332","1.0,-0.19319706407583936,0.20612000948251996","1.0,0.0520116041796701,-1.0","0.8423878648894922,0.2395276862660105,-1.0",208,335,64,92,"-0.15691856372514257,0.4811251279442219,0.20925454252068332",208,17
2,NoPrioritise,1,triangle,square,circle,cross,"1.0,0.05938674364207741,-1.0","1.0,-0.28545618498147696,-0.27665271730440133","0.7243026375027783,0.2944273290124073,-1.0","0.9165223056430671,0.08531838961047389,0.5804719469242157",65,9,102,298,"1.0,-0.28545618498147696,-0.27665271730440133",9,68
3,Prioritise4,2,square,triangle,circle,cross,"0.9788490541088481,0.1646703741338249,-1.0","0.10691635848548953,0.39815526341168916,0.5740986907036785","1.0,0.016090771115826907,0.5120159997035829","0.18759316868675757,0.45946387343509576,-0.8398972692549822",80,243,307,149,"1.0,0.016090771115826907,0.5120159997035829",307,116
4,Prioritise3,3,cross,square,circle,triangle,"-0.06301515924349677,0.44629443292921844,0.43549282839157066","1.0,-0.2905255226561695,-0.14211314919909668","0.5335383805596645,0.36747902832868284,-1.0","1.0,-0.07007995956776203,0.4066709204115653",227,0,118,318,"1.0,-0.07007995956776203,0.4066709204115653",318,278
5,Prioritise1,1,circle,square,cross,triangle,"1.0,0.12391818455152381,-1.0","1.0,-0.2133971103908915,-0.5647212078646006","0.07004997715874661,0.40859431628906884,0.5522929170622126","1.0,-0.29113614091237483,-0.20140827106110581",74,27,240,4,"1.0,-0.2133971103908915,-0.5647212078646006",27,193
6,Prioritise4,1,cross,triangle,square,circle,"0.2277843781848521,0.3627318956570289,0.6269388339435948","-0.1160886962144162,0.49493957268076216,-0.09618366371381681","1.0,-0.07783297952557244,0.3960373748090056","0.5593128013847881,0.24938009178326226,0.6713213889936891",252,187,319,274,"-0.1160886962144162,0.49493957268076216,-0.09618366371381681",187,296
7,NoPrioritise,2,square,triangle,cross,circle,"1.0,-0.0932311933171065,0.374286934875081","0.8602068900008202,0.11507220116757,0.6052161878467197","1.0,-0.09100024043058197,-1.0","1.0,-0.25779156666188097,0.04465505589445962",321,294,45,347,"1.0,-0.09100024043058197,-1.0",45,340
8,Prioritise3,1,circle,triangle,cross,square,"0.6210691465439071,0.22472865664823272,0.6660842894513506","0.9303101871846857,0.07776559495072588,0.5737236459068971","1.0,-0.29113614091237483,-0.20140827106110581","0.38240568475417525,0.4136729392938614,-1.0",278,299,4,131,"0.9303101871846857,0.07776559495072588,0.5737236459068971",299,198
9,Prioritise3,2,triangle,cross,circle,square,"-0.15913672951032076,0.48350679120805196,0.18230705521727808","0.7243026375027783,0.2944273290124073,-1.0","-0.01269399205840449,0.48953144240138324,-0.3581525544909092","-0.07115460775268467,0.4487065849390661,0.42510855757080535",206,102,171,226,"-0.01269399205840449,0.48953144240138324,-0.3581525544909092",171,160
10,Prioritise1,2,cross,circle,triangle,square,"-0.07020697204541848,0.49392917223661503,-0.22388609625324785","1.0,0.14454808295369936,-1.0","1.0,-0.21761393967782516,0.1537648375256555","0.5747774279545166,0.24332959852807035,0.670395358395977",179,77,339,275,"1.0,-0.21761393967782516,0.1537648375256555",339,343
11,Prioritise1,0,triangle,cross,circle,square,"1.0,-0.14190666083918357,-0.7896703829265752","-0.007535811164553707,0.4303825516742039,0.4937312314227156","1.0,0.00043266500642058503,0.4945408245860483","0.7954699681646173,0.26233143705175754,-1.0",38,233,309,96,"1.0,-0.14190666083918357,-0.7896703829265752",38,84
12,Prioritise3,0,triangle,circle,square,cross,"0.4819850074232215,0.2784837623913883,0.6721002952002628","0.13253781604398185,0.3908200528647623,0.5874938236427092","1.0,-0.060989074760531836,-1.0","-0.15745197328482874,0.48927392525561153,0.09851328502402845",269,245,49,200,"0.4819850074232215,0.2784837623913883,0.6721002952002628",269,65
13,NoPrioritise,0,square,circle,triangle,cross,"0.7243026375027783,0.2944273290124073,-1.0","0.4282253351913974,0.40067838587068505,-1.0","1.0,0.0520116041796701,-1.0","0.8885895249151152,0.10029123080933622,0.593298310174416",102,127,64,296,"0.7243026375027783,0.2944273290124073,-1.0",102,194
14,Prioritise4,0,triangle,square,cross,circle,"-0.12085421394465079,0.49482727509491764,-0.08063336981743141","0.37106831880418345,0.41675617985472035,-1.0","0.8886984490493344,0.21562474761751438,-1.0","1.0,0.04460337025072447,-1.0",188,132,88,63,"-0.12085421394465079,0.49482727509491764,-0.08063336981743141",188,214
15,NoPrioritise,3,cross,square,circle,triangle,"1.0,-0.10844910144201803,0.3519141850209708","1.0,-0.2784883645829067,-0.04031082501765193","0.25011230249462657,0.4464347244570299,-1.0","1.0,-0.266139671692747,-0.3844942650329082",323,353,143,16,"1.0,-0.266139671692747,-0.3844942650329082",16,150
16,Prioritise2,2,circle,triangle,cross,square,"0.45139045294854396,0.393779284417197,-1.0","-0.04985376064386149,0.4926777683571715,-0.2733707743273047","0.1997782184249719,0.37114427631595914,0.6168699381761522","0.6670955436242052,0.20546863097446266,0.6594879335101997",125,176,250,281,"0.1997782184249719,0.37114427631595914,0.6168699381761522",250,166
17,Prioritise4,3,cross,square,circle,triangle,"0.9342399836420399,0.1906568045828605,-1.0","1.0,0.007155954649565421,-1.0","0.06286533759988822,0.4804846395944975,-0.5215000541421746","1.0,-0.28849207683894174,-0.11276294357485506",84,58,162,358,"1.0,-0.28849207683894174,-0.11276294357485506",358,135
18,Prioritise2,3,triangle,cross,square,circle,"1.0,-0.015267259554568757,0.4762913260168815","1.0,-0.24513616553833184,-0.4641238358039159","1.0,-0.25349859092244853,0.058576446168723484","-0.15913672951032076,0.48350679120805196,0.18230705521727808",311,21,346,206,"-0.15913672951032076,0.48350679120805196,0.18230705521727808",206,39
