n_trial,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,wheel_rotation
1,NoPrioritise,3,triangle,circle,cross,square,"-0.1336957186097738,0.49417000388378884,-0.03453353894846056","1.0,-0.07007995956776203,0.4066709204115653","1.0,-0.12344048141961106,0.3289459564990056","0.854028730639278,0.2336538600688729,-1.0",191,318,325,91,"0.854028730639278,0.2336538600688729,-1.0",91,46
2,Prioritise4,2,triangle,square,circle,cross,"0.7127176267031001,0.18557291042394586,0.6506302425082333","-0.15691856372514257,0.4811251279442219,0.20925454252068332","1.0,-0.015534070910116049,-1.0","0.28536486694739915,0.3449661378960809,0.6441272460635925",284,208,55,256,"1.0,-0.015534070910116049,-1.0",55,223
3,Prioritise2,2,triangle,circle,cross,square,"-0.07115460775268467,0.4487065849390661,0.42510855757080535","1.0,-0.1308360377071882,0.3172469791017578","1.0,-0.2618543528600009,0.0306611530728087","0.11962807502985351,0.3945255124543332,0.5809118383777745",226,326,348,244,"1.0,-0.2618543528600009,0.0306611530728087",348,70
4,NoPrioritise,0,circle,triangle,square,cross,"1.0,-0.1694459751095364,-0.6968170409133772","1.0,-0.17339639938985352,0.2442586263282529","1.0,-0.176090722701999,-0.6762956704638035","1.0,-0.29113614091237483,-0.20140827106110581",34,332,33,4,"1.0,-0.1694459751095364,-0.6968170409133772",34,60
5,Prioritise4,0,cross,triangle,circle,square,"0.8602068900008202,0.11507220116757,0.6052161878467197","0.8602068900008202,0.11507220116757,0.6052161878467197","0.7599790593392,0.278698430329378,-1.0","0.7599790593392,0.278698430329378,-1.0",294,294,99,99,"0.8602068900008202,0.11507220116757,0.6052161878467197",294,335
6,Prioritise4,1,circle,square,triangle,cross,"-0.09478536258948067,0.49485771099788134,-0.15929400236046964","0.557247182986663,0.35934004439537626,-1.0","0.2277843781848521,0.3627318956570289,0.6269388339435948","-0.06301515924349677,0.44629443292921844,0.43549282839157066",183,116,252,227,"0.557247182986663,0.35934004439537626,-1.0",116,308
7,Prioritise1,2,triangle,cross,square,circle,"0.2823521228309567,0.4390974279014652,-1.0","1.0,-0.18904346603826983,-0.637249894721835","0.6048714455845987,0.34221696469187823,-1.0","0.6287517000804042,0.333230015934751,-1.0",140,31,112,110,"0.6048714455845987,0.34221696469187823,-1.0",112,203
8,Prioritise4,2,cross,square,circle,triangle,"1.0,-0.07783297952557244,0.3960373748090056","-0.1481252589400609,0.4756545429797898,0.26153874370652797","0.6517915958318632,0.21196052870658733,0.661939301509457","1.0,-0.14190666083918357,-0.7896703829265752",319,212,280,38,"0.6517915958318632,0.21196052870658733,0.661939301509457",280,276
9,Prioritise3,3,circle,square,cross,triangle,"0.32969209843730707,0.3308126345090221,0.6543985772501693","1.0,-0.23006636068103248,-0.5135224369802548","1.0,-0.06852917744512788,-1.0","0.9303101871846857,0.07776559495072588,0.5737236459068971",259,24,48,299,"0.9303101871846857,0.07776559495072588,0.5737236459068971",299,256
10,NoPrioritise,2,circle,triangle,square,cross,"1.0,0.023895135487088437,0.520455959599228","0.6517915958318632,0.21196052870658733,0.661939301509457","0.9788490541088481,0.1646703741338249,-1.0","1.0,-0.09100024043058197,-1.0",306,280,80,45,"0.9788490541088481,0.1646703741338249,-1.0",80,349
11,NoPrioritise,3,circle,triangle,square,cross,"1.0,-0.030978196634575572,0.4572913763932509","1.0,0.1513135807267587,-1.0","0.07186027412725471,0.47920645949573504,-0.5409731165987569","0.12802681261339854,0.47036395437091305,-0.6683938146358337",313,78,161,155,"0.12802681261339854,0.47036395437091305,-0.6683938146358337",155,107
12,NoPrioritise,2,circle,square,triangle,cross,"0.1184165720364383,0.4719787961363635,-0.6454646836219573","0.6885060196604067,0.3095143481419429,-1.0","0.058211064666331636,0.41192535001918484,0.5445760826660213","-0.03665861455697994,0.4386499069954206,0.4655003413302212",156,105,239,230,"0.058211064666331636,0.41192535001918484,0.5445760826660213",239,64
13,Prioritise4,2,square,triangle,cross,circle,"1.0,0.1513135807267587,-1.0","0.7362113369355152,0.2892555466706437,-1.0","0.7362113369355152,0.2892555466706437,-1.0","1.0,0.03716450464441401,-1.0",78,101,101,62,"0.7362113369355152,0.2892555466706437,-1.0",101,184
14,Prioritise1,0,circle,cross,square,triangle,"0.9026141269879491,0.09282770385166228,0.5869975937203944","0.47470490157818523,0.38660875671905104,-1.0","0.4665589352747248,0.2840716923699367,0.6714844115718321","1.0,0.14454808295369936,-1.0",297,123,268,77,"0.9026141269879491,0.09282770385166228,0.5869975937203944",297,88
15,Prioritise3,0,square,cross,circle,triangle,"1.0,-0.015267259554568757,0.4762913260168815","1.0,-0.04666697700988032,0.4375655321668761","0.3373683384989987,0.425614728337375,-1.0","1.0,-0.0932311933171065,0.374286934875081",311,315,135,321,"1.0,-0.015267259554568757,0.4762913260168815",311,327
16,Prioritise2,2,cross,circle,triangle,square,"0.3937919637711429,0.41052389502637143,-1.0","1.0,0.01469043779870538,-1.0","1.0,-0.0932311933171065,0.374286934875081","0.6048714455845987,0.34221696469187823,-1.0",130,59,321,112,"1.0,-0.0932311933171065,0.374286934875081",321,333
17,NoPrioritise,2,square,circle,cross,triangle,"0.9788490541088481,0.1646703741338249,-1.0","0.7127176267031001,0.18557291042394586,0.6506302425082333","0.6646065852612066,0.3192149609683923,-1.0","1.0,0.13084904670314157,-1.0",80,284,107,75,"0.6646065852612066,0.3192149609683923,-1.0",107,347
18,Prioritise2,1,cross,triangle,square,circle,"1.0,0.00043266500642058503,0.4945408245860483","1.0,0.022205290041545256,-1.0","1.0,-0.20752138035248524,-0.5823144238115788","1.0,-0.19952917352700605,0.19318579588388318",309,60,28,336,"1.0,0.022205290041545256,-1.0",60,195
19,NoPrioritise,0,circle,square,triangle,cross,"0.8885895249151152,0.10029123080933622,0.593298310174416","-0.15425303278284086,0.49074605836511664,0.06966808771232391","0.07004997715874661,0.40859431628906884,0.5522929170622126","-0.15857178695416452,0.48845422840718666,0.1127707600476957",296,198,240,201,"0.8885895249151152,0.10029123080933622,0.593298310174416",296,161
20,Prioritise3,1,triangle,circle,square,cross,"1.0,-0.08353952619481586,-1.0","0.7726890832158932,0.15810653737494773,0.6353563968956581","1.0,-0.16655302622891022,0.25673909055504174","1.0,0.12391818455152381,-1.0",46,288,331,74,"0.7726890832158932,0.15810653737494773,0.6353563968956581",288,243
21,Prioritise1,0,triangle,cross,circle,square,"1.0,-0.22467733398512213,-0.5303566464837048","0.09017416231209929,0.4764835565228893,-0.581140049938324","1.0,-0.24030349193845646,-0.4804258498410512","0.30417514509994215,0.43389432139899475,-1.0",25,159,22,138,"1.0,-0.22467733398512213,-0.5303566464837048",25,108
22,NoPrioritise,1,square,circle,cross,triangle,"1.0,-0.27293323902243416,-0.35332683897484074","0.35978173682339754,0.41977397962065344,-1.0","-0.020427730643879483,0.49026716567376205,-0.3409363637973366","0.7578023835242338,0.165070026077772,0.63954193062201",14,133,172,287,"0.35978173682339754,0.41977397962065344,-1.0",133,334
23,Prioritise4,2,square,cross,circle,triangle,"-0.06301515924349677,0.44629443292921844,0.43549282839157066","0.02803139784776887,0.4850479085911541,-0.44669070010662637","0.7718332302050808,0.2733134055615505,-1.0","0.9229356114863154,0.19699631777014193,-1.0",227,166,98,85,"0.7718332302050808,0.2733134055615505,-1.0",98,248
24,Prioritise3,2,triangle,square,cross,circle,"0.8307090529045498,0.2453327610063578,-1.0","0.5438403016684124,0.25535465854340766,0.6719910833849003","1.0,-0.2696580629443429,-0.3688697412252795","1.0,-0.2810383691272422,-0.05469022987079308",93,273,15,354,"1.0,-0.2696580629443429,-0.3688697412252795",15,343
25,Prioritise1,2,cross,triangle,circle,square,"0.7836643519746782,0.2678576623980824,-1.0","1.0,-0.25349859092244853,0.058576446168723484","0.9001622899209403,0.20948101299508481,-1.0","0.08211922552252782,0.40518924666980105,0.5597871012004456",97,346,87,241,"0.9001622899209403,0.20948101299508481,-1.0",87,56
