n_trial,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,wheel_rotation
11,NoPrioritise,0,cross,square,circle,triangle,"1.0,-0.21911833444213913,-0.5474132739956148","0.9898363577373541,0.15802139914365565,-1.0","1.0,-0.2810383691272422,-0.05469022987079308","0.5438403016684124,0.25535465854340766,0.6719910833849003",26,79,354,273,"1.0,-0.21911833444213913,-0.5474132739956148",26,262
12,NoPrioritise,0,triangle,cross,circle,square,"1.0,-0.0932311933171065,0.374286934875081","1.0,-0.2787294505909397,-0.3224626175099854","0.7278119810668549,0.17880451220180715,0.6471802765379799","-0.09355100115627268,0.4555421476647945,0.3928507547204487",321,12,285,223,"1.0,-0.0932311933171065,0.374286934875081",321,315
18,NoPrioritise,0,cross,square,circle,triangle,"0.09017416231209929,0.4764835565228893,-0.581140049938324","-0.0889322071979689,0.49470485377678974,-0.17530036558846096","-0.12966480223349675,0.49444262706220066,-0.04980752507879116","0.6885060196604067,0.3095143481419429,-1.0",159,182,190,105,"0.09017416231209929,0.4764835565228893,-0.581140049938324",159,0
65,NoPrioritise,0,cross,triangle,square,circle,"1.0,0.0885108071490186,-1.0","1.0,-0.28715474606071,-0.26149890951485844","0.19977821842497323,0.3711442763159587,0.6168699381761522","0.5283655398475315,0.26125276704655587,0.6724040666408482",69,8,250,272,"1.0,0.0885108071490186,-1.0",69,71
83,NoPrioritise,0,cross,circle,square,triangle,"-0.007535811164553707,0.4303825516742039,0.4937312314227156","1.0,0.08129056571751603,-1.0","0.1673887875274096,0.46333008938060627,-0.7729226224565875","0.6210691465439071,0.22472865664823272,0.6660842894513506",233,68,151,278,"-0.007535811164553707,0.4303825516742039,0.4937312314227156",233,27
113,NoPrioritise,0,square,triangle,cross,circle,"1.0,-0.27293323902243416,-0.35332683897484074","-0.05680994196765965,0.4931478034098584,-0.2567707460520542","1.0,-0.07783297952557244,0.3960373748090056","0.10691635848548953,0.39815526341168916,0.5740986907036785",14,177,319,243,"1.0,-0.27293323902243416,-0.35332683897484074",14,249
125,NoPrioritise,0,cross,square,circle,triangle,"0.2607905457923898,0.44405077031286466,-1.0","-0.15971287347422924,0.4846106035432911,0.16864202556096686","-0.017538974095646753,0.43320838581829424,0.48452289736445553","0.8314067698500829,0.129644828397681,0.6162087510840306",142,205,232,292,"0.2607905457923898,0.44405077031286466,-1.0",142,314
146,NoPrioritise,0,circle,square,triangle,cross,"0.35978173682339754,0.41977397962065344,-1.0","0.0809641014742315,0.4778728517952051,-0.560834903418019","0.9026141269879491,0.09282770385166228,0.5869975937203944","1.0,-0.223312447401106,0.14042906010430367",133,160,297,340,"0.35978173682339754,0.41977397962065344,-1.0",133,291
184,NoPrioritise,0,cross,triangle,square,circle,"-0.020427730643879483,0.49026716567376205,-0.3409363637973366","1.0,-0.176090722701999,-0.6762956704638035","1.0,-0.00039510366743955583,-1.0","1.0,-0.21761393967782516,0.1537648375256555",172,33,57,339,"-0.020427730643879483,0.49026716567376205,-0.3409363637973366",172,118
191,NoPrioritise,0,square,cross,circle,triangle,"0.854028730639278,0.2336538600688729,-1.0","1.0,-0.20752138035248524,-0.5823144238115788","1.0,0.11693500061052231,-1.0","1.0,-0.00039510366743955583,-1.0",91,28,73,57,"0.854028730639278,0.2336538600688729,-1.0",91,41
214,NoPrioritise,0,circle,cross,triangle,square,"1.0,-0.2905679542092485,-0.21635494529981825","1.0,0.05938674364207741,-1.0","-0.017538974095646753,0.43320838581829424,0.48452289736445553","1.0,-0.00039510366743955583,-1.0",5,65,232,57,"1.0,-0.2905679542092485,-0.21635494529981825",5,314
7,NoPrioritise,1,square,cross,circle,triangle,"-0.12881863109484093,0.46745492896353924,0.32362925960524147","0.03525654226328623,0.4183671124064994,0.5284836519992187","-0.0889322071979689,0.49470485377678974,-0.17530036558846096","1.0,-0.03882752461224859,0.44751763152896373",217,237,182,314,"0.03525654226328623,0.4183671124064994,0.5284836519992187",237,297
9,NoPrioritise,1,triangle,square,cross,circle,"1.0,0.05938674364207741,-1.0","-0.10674528321075638,0.4597702151299572,0.3704541436797111","-0.0889322071979689,0.49470485377678974,-0.17530036558846096","0.7123805921607476,0.2995277721370815,-1.0",65,221,182,103,"-0.10674528321075638,0.4597702151299572,0.3704541436797111",221,355
71,NoPrioritise,1,circle,cross,square,triangle,"0.04521328814621106,0.4828757040428189,-0.4835461552047625","1.0,0.0520116041796701,-1.0","1.0,-0.2618543528600009,0.0306611530728087","-0.1481252589400609,0.4756545429797898,0.26153874370652797",164,64,348,212,"1.0,0.0520116041796701,-1.0",64,28
78,NoPrioritise,1,square,circle,cross,triangle,"1.0,0.09568719202827336,-1.0","0.9677931896988998,0.1712594071065523,-1.0","-0.12538192785381974,0.49466166942996614,-0.0651744334368548","0.6168077568629242,0.33775906377670717,-1.0",70,81,189,111,"0.9677931896988998,0.1712594071065523,-1.0",81,259
80,NoPrioritise,1,circle,square,cross,triangle,"1.0,-0.23006636068103248,-0.5135224369802548","0.14752787305018233,0.4669625621869047,-0.7174796825499677","1.0,-0.015267259554568757,0.4762913260168815","1.0,-0.28545618498147696,-0.27665271730440133",24,153,311,9,"0.14752787305018233,0.4669625621869047,-0.7174796825499677",153,33
88,NoPrioritise,1,cross,square,triangle,circle,"0.41670369996421397,0.40402696808005323,-1.0","0.08211922552252782,0.40518924666980105,0.5597871012004456","0.8072476110492377,0.25673500061136667,-1.0","1.0,0.10281785561567158,-1.0",128,241,95,71,"0.08211922552252782,0.40518924666980105,0.5597871012004456",241,296
90,NoPrioritise,1,circle,cross,square,triangle,"1.0,-0.0855518419522695,0.38524161028667625","0.8307090529045498,0.2453327610063578,-1.0","-0.10587186235375057,0.4950046804635242,-0.12755688133261178","0.04521328814621106,0.4828757040428189,-0.4835461552047625",320,93,185,164,"0.8307090529045498,0.2453327610063578,-1.0",93,110
124,NoPrioritise,1,square,triangle,cross,circle,"-0.14715582087117385,0.4925402828135286,0.025608434090147236","0.47470490157818523,0.38660875671905104,-1.0","0.7278119810668549,0.17880451220180715,0.6471802765379799","1.0,-0.20149881210311282,-0.6002331830476271",195,123,285,29,"0.47470490157818523,0.38660875671905104,-1.0",123,214
145,NoPrioritise,1,triangle,square,cross,circle,"1.0,-0.07007995956776203,0.4066709204115653","0.9788490541088481,0.1646703741338249,-1.0","1.0,0.00043266500642058503,0.4945408245860483","0.8022226392771252,0.14399413187212562,0.6262603189685363",318,80,309,290,"0.9788490541088481,0.1646703741338249,-1.0",80,328
160,NoPrioritise,1,triangle,cross,square,circle,"1.0,-0.053431764767480794,-1.0","-0.12966480223349675,0.49444262706220066,-0.04980752507879116","-0.05454842094763246,0.44381461100324726,0.4456881091586087","0.5453823652594301,0.36344457638027117,-1.0",50,190,228,117,"-0.12966480223349675,0.49444262706220066,-0.04980752507879116",190,353
170,NoPrioritise,1,cross,triangle,square,circle,"0.013319861281873457,0.4245182348375207,0.5115287599103473","0.31518019558100097,0.43119815975599396,-1.0","0.5128942075651803,0.26707393527284795,0.6725600501236935","1.0,-0.23006636068103248,-0.5135224369802548",235,137,271,24,"0.31518019558100097,0.43119815975599396,-1.0",137,324
10,NoPrioritise,2,triangle,square,cross,circle,"1.0,-0.06852917744512788,-1.0","0.09441071644993482,0.40170970408167506,0.5670564126145141","0.15741439024530024,0.4651753747362595,-0.7441898531558468","1.0,-0.16269839246793216,-0.7181852224820324",48,242,152,35,"0.15741439024530024,0.4651753747362595,-0.7441898531558468",152,52
36,NoPrioritise,2,square,circle,triangle,cross,"-0.017538974095646753,0.43320838581829424,0.48452289736445553","1.0,-0.015267259554568757,0.4762913260168815","1.0,-0.14892208927791584,-0.7642951287839744","0.4397882380638529,0.39726260220805054,-1.0",232,311,37,126,"1.0,-0.14892208927791584,-0.7642951287839744",37,245
61,NoPrioritise,2,square,triangle,cross,circle,"0.046610568850004475,0.4151827959781793,0.5366388806382334","0.13253781604398185,0.3908200528647623,0.5874938236427092","0.09441071644993482,0.40170970408167506,0.5670564126145141","0.2081252941518954,0.4553611512282272,-0.9356957589344492",238,245,242,147,"0.09441071644993482,0.40170970408167506,0.5670564126145141",242,147
68,NoPrioritise,2,cross,circle,square,triangle,"1.0,-0.27567226916307197,-0.025990342729996674","1.0,0.023895135487088437,0.520455959599228","1.0,-0.007959551777363516,-1.0","1.0,-0.06229796743051119,0.4171389626044979",352,306,56,317,"1.0,-0.007959551777363516,-1.0",56,73
70,NoPrioritise,2,square,cross,triangle,circle,"-0.01269399205840449,0.48953144240138324,-0.3581525544909092","-0.0864279937772866,0.4533299305616785,0.40378459741649797","1.0,-0.06852917744512788,-1.0","0.019624625934283157,0.48605247051678746,-0.42860903269535067",171,224,48,167,"1.0,-0.06852917744512788,-1.0",48,304
102,NoPrioritise,2,circle,square,triangle,cross,"0.5902286499321849,0.2372037618456999,0.6692134526599127","1.0,0.031678509722878445,0.528693730626498","0.013319861281873457,0.4245182348375207,0.5115287599103473","1.0,-0.24976805918886447,-0.4479639557291707",276,305,235,20,"0.013319861281873457,0.4245182348375207,0.5115287599103473",235,260
118,NoPrioritise,2,cross,circle,square,triangle,"1.0,-0.030978196634575572,0.4572913763932509","1.0,0.0885108071490186,-1.0","0.9001622899209403,0.20948101299508481,-1.0","1.0,0.022205290041545256,-1.0",313,69,87,60,"0.9001622899209403,0.20948101299508481,-1.0",87,282
138,NoPrioritise,2,cross,circle,square,triangle,"0.7123805921607476,0.2995277721370815,-1.0","0.4204673865307198,0.3003640950728248,0.6680936776579738","0.6670955436242052,0.20546863097446266,0.6594879335101997","0.8168605703912253,0.13684827598857496,0.6213530935889016",103,265,281,291,"0.6670955436242052,0.20546863097446266,0.6594879335101997",281,50
143,NoPrioritise,2,triangle,cross,square,circle,"-0.04985376064386149,0.4926777683571715,-0.2733707743273047","0.31518019558100097,0.43119815975599396,-1.0","0.03525654226328623,0.4183671124064994,0.5284836519992187","0.4665589352747248,0.2840716923699367,0.6714844115718321",176,137,237,268,"0.03525654226328623,0.4183671124064994,0.5284836519992187",237,138
195,NoPrioritise,2,cross,circle,square,triangle,"0.1673887875274096,0.46333008938060627,-0.7729226224565875","-0.09478536258948067,0.49485771099788134,-0.15929400236046964","1.0,-0.23416809090988489,0.11348302116348119","1.0,-0.03882752461224859,0.44751763152896373",151,183,342,314,"1.0,-0.23416809090988489,0.11348302116348119",342,65
215,NoPrioritise,2,cross,triangle,square,circle,"0.04521328814621106,0.4828757040428189,-0.4835461552047625","0.45139045294854396,0.393779284417197,-1.0","1.0,-0.23416809090988489,0.11348302116348119","0.7599790593392,0.278698430329378,-1.0",164,125,342,99,"1.0,-0.23416809090988489,0.11348302116348119",342,295
5,NoPrioritise,3,triangle,circle,square,cross,"1.0,-0.12042756170577695,-0.8836340589512358","0.6168077568629242,0.33775906377670717,-1.0","0.8423878648894922,0.2395276862660105,-1.0","0.6056610145008174,0.2310032177113197,0.6677762187869551",41,111,92,277,"0.6056610145008174,0.2310032177113197,0.6677762187869551",277,357
