n_trial,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,wheel_rotation
1,Prioritise2,0,cross,triangle,square,circle,"1.0,0.023895135487088437,0.520455959599228","1.0,-0.21911833444213913,-0.5474132739956148","1.0,-0.18672585607811187,0.21894575397790916","0.5217173616076898,0.3714436344565344,-1.0",306,26,334,119,"1.0,0.023895135487088437,0.520455959599228",306,296
2,NoPrioritise,0,circle,triangle,square,cross,"0.4397882380638529,0.39726260220805054,-1.0","0.7874973343482177,0.15108074255601633,0.6309286527694675","0.6210691465439071,0.22472865664823272,0.6660842894513506","1.0,-0.045861603138592444,-1.0",126,289,278,51,"0.4397882380638529,0.39726260220805054,-1.0",126,351
3,Prioritise4,3,triangle,cross,square,circle,"0.509921421288337,0.37533864292099284,-1.0","1.0,-0.19319706407583936,0.20612000948251996","1.0,-0.030978196634575572,0.4572913763932509","-0.1599394399400429,0.4856569012506431,0.15485318992015062",120,335,313,204,"-0.1599394399400429,0.4856569012506431,0.15485318992015062",204,238
4,Prioritise2,1,cross,circle,triangle,square,"-0.12384754992127334,0.4656289401720195,0.3355818842165046","1.0,0.04460337025072447,-1.0","0.43579397082986615,0.29501209376045523,0.6694809165992386","1.0,-0.10844910144201803,0.3519141850209708",218,63,266,323,"1.0,0.04460337025072447,-1.0",63,341
5,Prioritise3,3,square,triangle,cross,circle,"0.1997782184249719,0.37114427631595914,0.6168699381761522","-0.11109230792064029,0.494998675286374,-0.11182488810932678","1.0,-0.28849207683894174,-0.11276294357485506","0.4981526525436166,0.3791643150394166,-1.0",250,186,358,121,"0.4981526525436166,0.3791643150394166,-1.0",121,198
6,Prioritise4,2,cross,square,circle,triangle,"1.0,0.14454808295369936,-1.0","1.0,-0.13481497066722903,-0.8172789642511413","0.509921421288337,0.37533864292099284,-1.0","1.0,-0.19952917352700617,0.19318579588388318",77,39,120,336,"0.509921421288337,0.37533864292099284,-1.0",120,234
7,Prioritise3,2,circle,cross,triangle,square,"0.6210691465439071,0.22472865664823272,0.6660842894513506","1.0,-0.291416597096681,-0.18651092035548889","0.07186027412725471,0.47920645949573504,-0.5409731165987569","1.0,-0.1558548551326704,-0.7405909184559469",278,3,161,36,"0.07186027412725471,0.47920645949573504,-0.5409731165987569",161,233
8,Prioritise4,1,square,triangle,circle,cross,"0.3000437839717358,0.34032750492681907,0.6478023910819077","0.22896995211020998,0.45101907426419996,-1.0","0.854028730639278,0.2336538600688729,-1.0","1.0,-0.2885749142137033,-0.24639910949319843",257,145,91,7,"0.22896995211020998,0.45101907426419996,-1.0",145,228
9,Prioritise2,3,triangle,square,circle,cross,"1.0,0.08129056571751603,-1.0","0.5128942075651803,0.26707393527284795,0.6725600501236935","-0.15218698220497417,0.491399065672369,0.0550849709310266","0.984183681480933,0.0471694796759472,0.544551712303033",68,271,197,303,"0.984183681480933,0.0471694796759472,0.544551712303033",303,125
10,NoPrioritise,3,cross,circle,triangle,square,"1.0,-0.28331765203541326,-0.06912673399707303","0.49743207809976986,0.2728177294164349,0.672458831583457","1.0,-0.24976805918886447,-0.4479639557291707","0.45139045294854396,0.393779284417197,-1.0",355,270,20,125,"0.45139045294854396,0.393779284417197,-1.0",125,29
11,Prioritise3,1,cross,circle,triangle,square,"0.14752787305018233,0.4669625621869047,-0.7174796825499677","0.18759316868675757,0.45946387343509576,-0.8398972692549822","0.002753009035763032,0.42748599986642954,0.5027340537090634","1.0,0.08129056571751603,-1.0",153,149,234,68,"0.18759316868675757,0.45946387343509576,-0.8398972692549822",149,157
12,Prioritise4,0,circle,square,triangle,cross,"0.7127176267031001,0.18557291042394586,0.6506302425082333","1.0,-0.015534070910116049,-1.0","0.9709143462906737,0.05487098646765176,0.5521665648538059","0.8423878648894922,0.2395276862660105,-1.0",284,55,302,92,"0.7127176267031001,0.18557291042394586,0.6506302425082333",284,213
13,NoPrioritise,2,cross,triangle,circle,square,"0.6364477477613335,0.21838082541010184,0.6641383826852352","0.9001622899209403,0.20948101299508481,-1.0","1.0,-0.09100024043058197,-1.0","0.23950483221035568,0.4487573681220651,-1.0",279,87,45,144,"1.0,-0.09100024043058197,-1.0",45,35
14,NoPrioritise,1,circle,triangle,square,cross,"1.0,-0.1453950522675579,0.29343624696038684","1.0,-0.19319706407583936,0.20612000948251996","0.8744524420551003,0.1077067653533772,0.5993718879433354","1.0,-0.28331765203541326,-0.06912673399707303",328,335,295,355,"1.0,-0.19319706407583936,0.20612000948251996",335,261
15,Prioritise1,1,circle,triangle,square,cross,"1.0,-0.21911833444213913,-0.5474132739956148","0.07186027412725471,0.47920645949573504,-0.5409731165987569","0.024156992038590452,0.42147876676365525,0.5201127943356356","0.6287517000804042,0.333230015934751,-1.0",26,161,236,110,"0.07186027412725471,0.47920645949573504,-0.5409731165987569",161,324
16,Prioritise1,2,cross,triangle,circle,square,"-0.1599394399400429,0.4856569012506431,0.15485318992015062","1.0,-0.18904346603826983,-0.637249894721835","0.45139045294854396,0.393779284417197,-1.0","1.0,-0.2696580629443429,-0.3688697412252795",204,31,125,15,"0.45139045294854396,0.393779284417197,-1.0",125,342
