n_trial,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,wheel_rotation
1,Prioritise4,2,square,cross,triangle,circle,"0.17237529551869346,0.3792456671279014,0.6058334931269098","1.0,0.14454808295369936,-1.0","-0.11850987372908683,0.4637398184337027,0.34737226103556385","-0.12538192785381974,0.49466166942996614,-0.0651744334368548",248,77,219,189,"-0.11850987372908683,0.4637398184337027,0.34737226103556385",219,254
2,NoPrioritise,2,circle,triangle,square,cross,"1.0,-0.2905679542092485,-0.21635494529981825","-0.14097292288545527,0.4934633616179327,-0.004268922352566595","0.07004997715874661,0.40859431628906884,0.5522929170622126","0.7718332302050808,0.2733134055615505,-1.0",5,193,240,98,"0.07004997715874661,0.40859431628906884,0.5522929170622126",240,39
3,Prioritise3,2,cross,circle,triangle,square,"1.0,-0.04666697700988032,0.4375655321668761","1.0,-0.25779156666188097,0.04465505589445962","-0.045760705841983884,0.4412666063320212,0.45569155140365925","1.0,-0.2352776592018201,-0.4968859262116322",315,347,229,23,"-0.045760705841983884,0.4412666063320212,0.45569155140365925",229,298
4,Prioritise2,0,square,circle,triangle,cross,"-0.06359610428535867,0.4935649245563736,-0.24027710533734647","0.35968141037855483,0.3209804608831912,0.6599831247203418","0.28235212283095645,0.4390974279014652,-1.0","1.0,-0.27567226916307197,-0.025990342729996674",178,261,140,352,"-0.06359610428535867,0.4935649245563736,-0.24027710533734647",178,252
5,Prioritise1,2,square,triangle,cross,circle,"1.0,-0.24976805918886447,-0.4479639557291707","1.0,0.01469043779870538,-1.0","0.8744524420551003,0.1077067653533772,0.5993718879433354","0.9898363577373541,0.15802139914365565,-1.0",20,59,295,79,"0.8744524420551003,0.1077067653533772,0.5993718879433354",295,250
6,NoPrioritise,0,square,circle,triangle,cross,"1.0,-0.1308360377071882,0.3172469791017578","0.25011230249462657,0.4464347244570299,-1.0","-0.09355100115627091,0.45554214766479406,0.3928507547204487","1.0,0.07402842417913646,-1.0",326,143,223,67,"1.0,-0.1308360377071882,0.3172469791017578",326,203
7,Prioritise4,0,square,triangle,circle,cross,"1.0,-0.03882752461224859,0.44751763152896373","-0.05454842094763246,0.44381461100324726,0.4456881091586087","0.22896995211020998,0.45101907426419996,-1.0","1.0,-0.2759589912597996,-0.3378595329546661",314,228,145,13,"1.0,-0.03882752461224859,0.44751763152896373",314,240
8,Prioritise2,2,circle,triangle,cross,square,"0.4665589352747248,0.2840716923699367,0.6714844115718321","1.0,0.14454808295369936,-1.0","0.5810306884554026,0.3509198779468534,-1.0","1.0,-0.2905255226561695,-0.14211314919909668",268,77,114,0,"0.5810306884554026,0.3509198779468534,-1.0",114,151
9,Prioritise3,0,circle,triangle,cross,square,"0.18759316868675757,0.45946387343509576,-0.8398972692549822","0.6885060196604067,0.3095143481419429,-1.0","-0.05454842094763246,0.44381461100324726,0.4456881091586087","1.0,-0.09100024043058197,-1.0",149,105,228,45,"0.18759316868675757,0.45946387343509576,-0.8398972692549822",149,349
10,Prioritise3,1,circle,square,triangle,cross,"1.0,0.13084904670314157,-1.0","1.0,-0.2692625012388049,0.0024658652101630096","0.4511598862406947,0.28958122135142217,0.6706112376461497","0.024156992038590452,0.42147876676365525,0.5201127943356356",75,350,267,236,"1.0,-0.2692625012388049,0.0024658652101630096",350,356
11,NoPrioritise,3,square,triangle,cross,circle,"0.5593128013847881,0.24938009178326226,0.6713213889936891","1.0,-0.24030349193845646,-0.4804258498410512","-0.11850987372908683,0.4637398184337027,0.34737226103556385","0.5810306884554026,0.3509198779468534,-1.0",274,22,219,114,"0.5810306884554026,0.3509198779468534,-1.0",114,117
12,Prioritise1,3,circle,square,triangle,cross,"0.04661056885000425,0.4151827959781793,0.5366388806382338","1.0,0.03716450464441401,-1.0","1.0,-0.26238457869240295,-0.4002073564444957","0.0809641014742315,0.4778728517952051,-0.560834903418019",238,62,17,160,"0.0809641014742315,0.4778728517952051,-0.560834903418019",160,277
13,Prioritise3,3,triangle,circle,square,cross,"0.7127176267031001,0.18557291042394586,0.6506302425082333","-0.1160886962144162,0.49493957268076216,-0.09618366371381681","1.0,-0.12344048141961106,0.3289459564990056","1.0,-0.1694459751095364,-0.6968170409133772",284,187,325,34,"1.0,-0.1694459751095364,-0.6968170409133772",34,355
14,Prioritise2,1,triangle,circle,cross,square,"1.0,-0.16655302622891022,0.25673909055504174","0.5810306884554026,0.3509198779468534,-1.0","1.0,-0.2812391217555803,-0.30713162009795525","-0.10674528321075638,0.4597702151299572,0.3704541436797111",331,114,11,221,"0.5810306884554026,0.3509198779468534,-1.0",114,95
15,NoPrioritise,1,square,cross,circle,triangle,"1.0,-0.13815640460244194,0.305409278040333","1.0,-0.03828278687151976,-1.0","0.9026141269879491,0.09282770385166228,0.5869975937203944","1.0,-0.2810383691272422,-0.05469022987079308",327,52,297,354,"1.0,-0.03828278687151976,-1.0",52,135
16,Prioritise2,3,cross,circle,triangle,square,"1.0,-0.04666697700988032,0.4375655321668761","0.9454860823634645,0.18425356693025585,-1.0","0.21850949126575658,0.4532202130288874,-0.9933869065076532","1.0,0.022205290041545256,-1.0",315,83,146,60,"1.0,0.022205290041545256,-1.0",60,104
17,Prioritise1,1,triangle,circle,cross,square,"-0.10674528321075638,0.4597702151299572,0.3704541436797111","1.0,0.01469043779870538,-1.0","0.11962807502985351,0.3945255124543332,0.5809118383777745","0.3937919637711427,0.41052389502637143,-1.0",221,59,244,130,"1.0,0.01469043779870538,-1.0",59,192
18,Prioritise1,0,cross,triangle,circle,square,"1.0,0.08129056571751603,-1.0","-0.15218698220497417,0.491399065672369,0.0550849709310266","0.2563330525591274,0.3540064263668754,0.6360281906414551","0.8168605703912253,0.13684827598857496,0.6213530935889016",68,197,254,291,"1.0,0.08129056571751603,-1.0",68,55
19,Prioritise4,3,circle,square,cross,triangle,"0.9898363577373541,0.15802139914365565,-1.0","0.27079222332264496,0.349525727356639,0.6402021298134932","0.10890282843090082,0.4735368131811257,-0.6233623294930688","1.0,-0.15960027999342463,0.2690977661520819",79,255,157,330,"1.0,-0.15960027999342463,0.2690977661520819",330,34
20,Prioritise4,1,triangle,circle,square,cross,"0.09017416231209929,0.4764835565228893,-0.581140049938324","1.0,-0.24030349193845646,-0.4804258498410512","0.30417514509994215,0.43389432139899475,-1.0","0.6526534052453359,0.32395804637990677,-1.0",159,22,138,108,"1.0,-0.24030349193845646,-0.4804258498410512",22,353
