n_trial,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,wheel_rotation
1,NoPrioritise,1,triangle,square,circle,cross,"0.5593128013847881,0.24938009178326226,0.6713213889936891","0.9342399836420399,0.1906568045828605,-1.0","-0.15936350859590664,0.487578374203653,0.1269149288768463","1.0,-0.10580765013847959,-0.9756165541078137",274,84,202,43,"0.9342399836420399,0.1906568045828605,-1.0",84,136
2,NoPrioritise,3,cross,triangle,circle,square,"0.38995744222104256,0.31083082350540914,0.6645497918058341","1.0,0.031678509722878445,0.528693730626498","0.17237529551869346,0.3792456671279014,0.6058334931269098","1.0,-0.03882752461224859,0.44751763152896373",263,305,248,314,"1.0,-0.03882752461224859,0.44751763152896373",314,298
3,Prioritise3,0,square,triangle,cross,circle,"-0.03665861455697994,0.4386499069954206,0.4655003413302212","1.0,-0.2810383691272422,-0.05469022987079308","1.0,0.029697581538389972,-1.0","0.2081252941518954,0.4553611512282272,-0.9356957589344492",230,354,61,147,"-0.03665861455697994,0.4386499069954206,0.4655003413302212",230,169
4,Prioritise1,0,cross,circle,triangle,square,"0.21370971933434912,0.36697709911931464,0.6220261074603506","0.45139045294854396,0.393779284417197,-1.0","1.0,0.05938674364207741,-1.0","1.0,-0.24030349193845646,-0.4804258498410512",251,125,65,22,"0.21370971933434912,0.36697709911931464,0.6220261074603506",251,59
5,Prioritise3,3,square,cross,triangle,circle,"1.0,0.0520116041796701,-1.0","1.0,-0.28849207683894174,-0.11276294357485506","0.9001622899209403,0.20948101299508481,-1.0","0.07186027412725471,0.47920645949573504,-0.5409731165987569",64,358,87,161,"0.07186027412725471,0.47920645949573504,-0.5409731165987569",161,210
6,Prioritise4,1,circle,square,cross,triangle,"1.0,0.06672643376273091,-1.0","0.7243026375027783,0.2944273290124073,-1.0","-0.1599394399400429,0.4856569012506431,0.15485318992015062","1.0,-0.06852917744512788,-1.0",66,102,204,48,"0.7243026375027783,0.2944273290124073,-1.0",102,274
7,Prioritise2,1,square,circle,cross,triangle,"0.3446475566939091,0.32593623267112437,0.6573177271493604","0.13253781604398185,0.3908200528647623,0.5874938236427092","1.0,-0.28331765203541326,-0.06912673399707303","1.0,-0.03828278687151976,-1.0",260,245,355,52,"0.13253781604398185,0.3908200528647623,0.5874938236427092",245,186
8,Prioritise2,3,square,triangle,cross,circle,"1.0,-0.29111130123666484,-0.15686324257888173","0.8022226392771252,0.14399413187212562,0.6262603189685363","-0.11850987372908683,0.4637398184337027,0.34737226103556385","0.6526534052453359,0.32395804637990677,-1.0",1,290,219,108,"0.6526534052453359,0.32395804637990677,-1.0",108,205
9,Prioritise4,2,circle,cross,triangle,square,"1.0,-0.24030349193845646,-0.4804258498410512","0.7278119810668549,0.17880451220180715,0.6471802765379799","-0.06301515924349677,0.44629443292921844,0.43549282839157066","-0.12966480223349675,0.49444262706220066,-0.04980752507879116",22,285,227,190,"-0.06301515924349677,0.44629443292921844,0.43549282839157066",227,1
10,Prioritise2,2,square,cross,triangle,circle,"0.23950483221035568,0.4487573681220651,-1.0","0.058211064666331636,0.41192535001918484,0.5445760826660213","0.35968141037855483,0.3209804608831912,0.6599831247203418","1.0,-0.23006636068103248,-0.5135224369802548",144,239,261,24,"0.35968141037855483,0.3209804608831912,0.6599831247203418",261,40
11,Prioritise4,0,circle,triangle,cross,square,"-0.137653653553384,0.47091943313012696,0.2992494234533911","0.2419946445565604,0.35840841428502257,0.6316066564714324","0.07004997715874661,0.40859431628906884,0.5522929170622126","1.0,-0.2692625012388049,0.0024658652101630096",215,253,240,350,"-0.137653653553384,0.47091943313012696,0.2992494234533911",215,332
12,Prioritise1,2,square,triangle,circle,cross,"1.0,-0.07007995956776203,0.4066709204115653","0.002753009035763032,0.42748599986642954,0.5027340537090634","0.509921421288337,0.37533864292099284,-1.0","1.0,-0.2787294505909397,-0.3224626175099854",318,234,120,12,"0.509921421288337,0.37533864292099284,-1.0",120,274
13,Prioritise4,3,cross,circle,square,triangle,"1.0,-0.23006636068103248,-0.5135224369802548","1.0,-0.28849207683894174,-0.11276294357485506","0.8885895249151152,0.10029123080933622,0.593298310174416","0.3373683384989987,0.425614728337375,-1.0",24,358,296,135,"0.3373683384989987,0.425614728337375,-1.0",135,0
14,Prioritise1,1,cross,square,triangle,circle,"0.17237529551869346,0.3792456671279014,0.6058334931269098","0.5453823652594301,0.36344457638027117,-1.0","1.0,-0.25779156666188097,0.04465505589445962","-0.10674528321075638,0.4597702151299572,0.3704541436797111",248,117,347,221,"0.5453823652594301,0.36344457638027117,-1.0",117,238
15,NoPrioritise,0,square,circle,cross,triangle,"0.23950483221035568,0.4487573681220651,-1.0","0.9001622899209403,0.20948101299508481,-1.0","1.0,0.029697581538389972,-1.0","-0.07115460775268467,0.4487065849390661,0.42510855757080535",144,87,61,226,"0.23950483221035568,0.4487573681220651,-1.0",144,296
16,Prioritise3,2,square,cross,triangle,circle,"0.6048714455845987,0.34221696469187823,-1.0","1.0,-0.27293323902243416,-0.35332683897484074","-0.1598212484830719,0.4866460428277808,0.1409432704458322","0.10890282843090082,0.4735368131811257,-0.6233623294930688",112,14,203,157,"-0.1598212484830719,0.4866460428277808,0.1409432704458322",203,347
17,NoPrioritise,2,cross,circle,triangle,square,"0.4981526525436166,0.3791643150394166,-1.0","1.0,-0.10580765013847959,-0.9756165541078137","1.0,-0.2541916545294901,-0.43193236346031305","1.0,-0.2288330890480459,0.12700076968242469",121,43,19,341,"1.0,-0.2541916545294901,-0.43193236346031305",19,305
18,Prioritise2,0,cross,triangle,square,circle,"1.0,0.007155954649565421,-1.0","-0.15971287347422924,0.4846106035432911,0.16864202556096686","-0.10674528321075638,0.4597702151299572,0.3704541436797111","-0.0889322071979689,0.49470485377678974,-0.17530036558846096",58,205,221,182,"1.0,0.007155954649565421,-1.0",58,63
19,Prioritise1,3,cross,square,circle,triangle,"-0.06301515924349677,0.44629443292921844,0.43549282839157066","0.5747774279545166,0.24332959852807035,0.670395358395977","0.5217173616076898,0.3714436344565344,-1.0","0.31518019558100097,0.43119815975599396,-1.0",227,275,119,137,"0.31518019558100097,0.43119815975599396,-1.0",137,208
20,Prioritise3,1,circle,square,cross,triangle,"-0.04985376064386149,0.4926777683571715,-0.2733707743273047","-0.1552691192795369,0.47984650043174004,0.22253130766167373","-0.0864279937772866,0.4533299305616785,0.40378459741649797","0.8022226392771252,0.14399413187212562,0.6262603189685363",176,209,224,290,"-0.1552691192795369,0.47984650043174004,0.22253130766167373",209,144
