n_trial,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,wheel_rotation
1,NoPrioritise,3,cross,square,triangle,circle,"1.0,-0.03828278687151976,-1.0","0.9026141269879491,0.09282770385166228,0.5869975937203944","1.0,-0.24898244687401672,0.0724226931177736","1.0,-0.2810383691272422,-0.05469022987079308",52,297,345,354,"1.0,-0.2810383691272422,-0.05469022987079308",354,135
2,Prioritise3,3,cross,triangle,square,circle,"-0.0889322071979689,0.49470485377678974,-0.17530036558846096","1.0,-0.04666697700988032,0.4375655321668761","1.0,-0.25779156666188097,0.04465505589445962","-0.045760705841983884,0.4412666063320212,0.45569155140365925",182,315,347,229,"-0.045760705841983884,0.4412666063320212,0.45569155140365925",229,23
3,Prioritise3,1,circle,cross,square,triangle,"1.0,-0.20149881210311282,-0.6002331830476271","0.18759316868675757,0.45946387343509576,-0.8398972692549822","0.6885060196604067,0.3095143481419429,-1.0","0.6526534052453359,0.32395804637990677,-1.0",29,149,105,108,"0.18759316868675757,0.45946387343509576,-0.8398972692549822",149,228
4,NoPrioritise,2,circle,square,cross,triangle,"0.4282253351913974,0.40067838587068505,-1.0","-0.09355100115627091,0.45554214766479406,0.3928507547204487","1.0,0.07402842417913646,-1.0","-0.1598212484830719,0.4866460428277808,0.1409432704458322",127,223,67,203,"1.0,0.07402842417913646,-1.0",67,122
5,Prioritise4,1,circle,square,cross,triangle,"1.0,-0.03828278687151976,-1.0","0.0809641014742315,0.4778728517952051,-0.560834903418019","-0.017538974095646753,0.43320838581829424,0.48452289736445553","0.697563521415238,0.19227379976898162,0.6538323072937366",52,160,232,283,"0.0809641014742315,0.4778728517952051,-0.560834903418019",160,320
6,Prioritise3,2,circle,triangle,cross,square,"1.0,-0.18904346603826983,-0.637249894721835","1.0,0.13084904670314157,-1.0","1.0,-0.2692625012388049,0.0024658652101630096","0.4511598862406947,0.28958122135142217,0.6706112376461497",31,75,350,267,"1.0,-0.2692625012388049,0.0024658652101630096",350,236
7,Prioritise2,0,circle,triangle,square,cross,"1.0,-0.2541916545294901,-0.43193236346031305","0.6210691465439071,0.22472865664823272,0.6660842894513506","-0.06359610428535867,0.4935649245563736,-0.24027710533734647","0.35968141037855483,0.3209804608831912,0.6599831247203418",19,278,178,261,"1.0,-0.2541916545294901,-0.43193236346031305",19,140
8,Prioritise1,3,circle,square,triangle,cross,"0.04661056885000425,0.4151827959781793,0.5366388806382338","-0.05454842094763246,0.44381461100324726,0.4456881091586087","0.18599750731146814,0.3752337008299145,0.6114718629309206","1.0,0.03716450464441401,-1.0",238,228,249,62,"1.0,0.03716450464441401,-1.0",62,17
9,Prioritise4,2,cross,circle,square,triangle,"-0.05454842094763246,0.44381461100324726,0.4456881091586087","0.22896995211020998,0.45101907426419996,-1.0","1.0,-0.2759589912597996,-0.3378595329546661","0.07004997715874661,0.40859431628906884,0.5522929170622126",228,145,13,240,"1.0,-0.2759589912597996,-0.3378595329546661",13,183
10,Prioritise3,0,cross,square,triangle,circle,"0.9454860823634645,0.18425356693025585,-1.0","0.21850949126575658,0.4532202130288874,-0.9933869065076532","1.0,0.022205290041545256,-1.0","0.7004475934634664,0.30455679594870433,-1.0",83,146,60,104,"0.9454860823634645,0.18425356693025585,-1.0",83,283
