n_trial,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,wheel_rotation
1,Prioritise2,2,triangle,circle,square,cross,"-0.15601024525342333,0.4900377710624384,0.08414494382818494","1.0,-0.1558548551326704,-0.7405909184559469","0.47470490157818523,0.38660875671905104,-1.0","-0.12881863109484093,0.46745492896353924,0.32362925960524147",199,36,123,217,"0.47470490157818523,0.38660875671905104,-1.0",123,102
2,NoPrioritise,0,circle,square,triangle,cross,"1.0,-0.283482916447115,-0.29186272671519153","0.6048714455845987,0.34221696469187823,-1.0","0.4630300053623657,0.39022810787803497,-1.0","0.8168605703912253,0.13684827598857496,0.6213530935889016",10,112,124,291,"1.0,-0.283482916447115,-0.29186272671519153",10,271
3,NoPrioritise,2,square,triangle,cross,circle,"0.4981526525436166,0.3791643150394166,-1.0","-0.017538974095646753,0.43320838581829424,0.48452289736445553","0.5453823652594301,0.36344457638027117,-1.0","0.47470490157818523,0.38660875671905104,-1.0",121,232,117,123,"0.5453823652594301,0.36344457638027117,-1.0",117,172
4,Prioritise3,3,square,circle,cross,triangle,"0.019624625934283157,0.48605247051678724,-0.428609032695351","0.2081252941518954,0.4553611512282272,-0.9356957589344492","1.0,0.007155954649565421,-1.0","1.0,-0.10580765013847959,-0.9756165541078137",167,147,58,43,"1.0,-0.10580765013847959,-0.9756165541078137",43,15
5,Prioritise2,3,triangle,square,circle,cross,"1.0,-0.14190666083918357,-0.7896703829265752","1.0,-0.007413941176475647,0.4855113905503705","0.4864131283203974,0.38292092452220805,-1.0","1.0,-0.08353952619481586,-1.0",38,310,122,46,"1.0,-0.08353952619481586,-1.0",46,134
6,Prioritise4,3,triangle,circle,square,cross,"-0.15971287347422924,0.4846106035432911,0.16864202556096686","1.0,0.022205290041545256,-1.0","0.3937919637711427,0.41052389502637143,-1.0","1.0,-0.20149881210311282,-0.6002331830476271",205,60,130,29,"1.0,-0.20149881210311282,-0.6002331830476271",29,2
7,Prioritise2,0,circle,cross,triangle,square,"0.5128942075651803,0.26707393527284795,0.6725600501236935","1.0,-0.25779156666188097,0.04465505589445962","1.0,0.04460337025072447,-1.0","0.911575527904773,0.20327130372654878,-1.0",271,347,63,86,"0.5128942075651803,0.26707393527284795,0.6725600501236935",271,31
8,Prioritise4,2,square,triangle,cross,circle,"-0.10043403746491275,0.49495767021285575,-0.14337977127983403","0.6517915958318632,0.21196052870658733,0.661939301509457","1.0,-0.2784883645829067,-0.04031082501765193","0.7726890832158932,0.15810653737494773,0.6353563968956581",184,280,353,288,"1.0,-0.2784883645829067,-0.04031082501765193",353,152
9,Prioritise2,1,cross,triangle,square,circle,"-0.15745197328482874,0.48927392525561153,0.09851328502402845","1.0,-0.20752138035248524,-0.5823144238115788","-0.09355100115627091,0.45554214766479406,0.3928507547204487","1.0,-0.07604755533137741,-1.0",200,28,223,47,"1.0,-0.20752138035248524,-0.5823144238115788",28,320
10,Prioritise1,1,cross,triangle,square,circle,"0.12802681261339854,0.47036395437091305,-0.6683938146358337","0.6526534052453359,0.32395804637990677,-1.0","0.4819850074232215,0.2784837623913883,0.6721002952002628","1.0,0.029697581538389972,-1.0",155,108,269,61,"0.6526534052453359,0.32395804637990677,-1.0",108,143
11,Prioritise4,1,cross,circle,triangle,square,"1.0,-0.2288330890480459,0.12700076968242469","1.0,-0.060989074760531836,-1.0","0.10890282843090082,0.4735368131811257,-0.6233623294930688","0.7278119810668549,0.17880451220180715,0.6471802765379799",341,49,157,285,"1.0,-0.060989074760531836,-1.0",49,236
12,Prioritise3,0,circle,square,cross,triangle,"-0.03665861455697994,0.4386499069954206,0.4655003413302212","1.0,-0.2541916545294901,-0.43193236346031305","1.0,-0.04666697700988032,0.4375655321668761","0.9973143857544444,0.03943765994348003,0.5367265506444097",230,19,315,304,"-0.03665861455697994,0.4386499069954206,0.4655003413302212",230,16
13,Prioritise1,2,circle,cross,triangle,square,"1.0,-0.2583995670372059,-0.4160170008955538","0.49743207809976986,0.2728177294164349,0.672458831583457","0.7243026375027783,0.2944273290124073,-1.0","1.0,-0.265680167273015,0.01659727634298691",18,270,102,349,"0.7243026375027783,0.2944273290124073,-1.0",102,265
14,Prioritise1,0,triangle,circle,cross,square,"0.3262451978832188,0.42843842117143094,-1.0","1.0,-0.21761393967782516,0.1537648375256555","-0.1336957186097738,0.49417000388378884,-0.03453353894846056","1.0,-0.06852917744512788,-1.0",136,339,191,48,"0.3262451978832188,0.42843842117143094,-1.0",136,85
15,NoPrioritise,1,cross,triangle,square,circle,"1.0,-0.1308360377071882,0.3172469791017578","1.0,0.016090771115826907,0.5120159997035829","0.2277843781848521,0.3627318956570289,0.6269388339435948","1.0,-0.1159761024614836,0.3405028198215041",326,307,252,324,"1.0,0.016090771115826907,0.5120159997035829",307,246
16,Prioritise1,3,triangle,square,circle,cross,"1.0,0.00043266500642058503,0.4945408245860483","1.0,-0.13815640460244194,0.305409278040333","1.0,-0.04666697700988032,0.4375655321668761","-0.004817967995419115,0.4887422579776717,-0.37551595656205394",309,327,315,170,"-0.004817967995419115,0.4887422579776717,-0.37551595656205394",170,322
17,Prioritise3,1,square,cross,triangle,circle,"0.18599750731146814,0.3752337008299145,0.6114718629309206","0.11962807502985351,0.3945255124543332,0.5809118383777745","-0.09478536258948067,0.49485771099788134,-0.15929400236046964","0.6885060196604067,0.3095143481419429,-1.0",249,244,183,105,"0.11962807502985351,0.3945255124543332,0.5809118383777745",244,276
18,NoPrioritise,3,cross,square,triangle,circle,"0.7362113369355152,0.2892555466706437,-1.0","0.7278119810668549,0.17880451220180715,0.6471802765379799","1.0,-0.28331765203541326,-0.06912673399707303","-0.03545149328753128,0.4915787209123279,-0.3069086161051545",101,285,355,174,"-0.03545149328753128,0.4915787209123279,-0.3069086161051545",174,6
19,Prioritise3,2,cross,square,triangle,circle,"-0.07115460775268467,0.4487065849390661,0.42510855757080535","0.15741439024530024,0.4651753747362595,-0.7441898531558468","1.0,-0.2897135245148047,-0.23135156862016248","0.27079222332264496,0.349525727356639,0.6402021298134932",226,152,6,255,"1.0,-0.2897135245148047,-0.23135156862016248",6,133
