id,gender,dob,date,n_trial,test_stage,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,response,response_angle,wheel_rotation,reaction_time
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,1,practice_pri,Prioritise3,3,cross,square,triangle,circle,"0.2081252941518954,0.4553611512282272,-0.9356957589344492","1.0,-0.2692625012388049,0.0024658652101630096","1.0,-0.1694459751095364,-0.6968170409133772","0.6517915958318632,0.21196052870658733,0.661939301509457",147,350,34,280,"0.6517915958318632,0.21196052870658733,0.661939301509457",280,"-0.05454842094763246,0.44381461100324726,0.4456881091586087",228,85,16.095808300000044
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,2,practice_pri,NoPrioritise,1,cross,circle,square,triangle,"0.7243026375027783,0.2944273290124073,-1.0","1.0,-0.19319706407583936,0.20612000948251996","0.8314067698500829,0.129644828397681,0.6162087510840306","1.0,-0.03828278687151976,-1.0",102,335,292,52,"1.0,-0.19319706407583936,0.20612000948251996",335,"1.0,-0.12042756170577695,-0.8836340589512358",41,62,8.281602899999996
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,3,practice_pri,Prioritise1,0,triangle,cross,circle,square,"0.38240568475417525,0.4136729392938614,-1.0","1.0,-0.07783297952557244,0.3960373748090056","-0.07115460775268467,0.4487065849390661,0.42510855757080535","-0.020427730643879483,0.49026716567376205,-0.3409363637973366",131,319,226,172,"0.38240568475417525,0.4136729392938614,-1.0",131,"0.011345098196205106,0.4870029319956142,-0.41073039696963887",168,153,5.032446200000038
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,4,practice_pri,Prioritise2,3,triangle,circle,cross,square,"1.0,-0.28331765203541326,-0.06912673399707303","1.0,0.01469043779870538,-1.0","0.37478692104604905,0.3159453148278393,0.6623940312376342","0.30417514509994215,0.43389432139899475,-1.0",355,59,262,138,"0.30417514509994215,0.43389432139899475,-1.0",138,"1.0,-0.2787294505909397,-0.3224626175099854",12,297,4.1800163999999995
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,5,practice_pri,Prioritise4,1,circle,square,cross,triangle,"1.0,-0.12042756170577695,-0.8836340589512358","0.28536486694739915,0.3449661378960809,0.6441272460635925","0.9229356114863154,0.19699631777014193,-1.0","-0.1334211421392112,0.46921826779504494,0.31151742599586085",41,256,85,216,"0.28536486694739915,0.3449661378960809,0.6441272460635925",256,"0.4204673865307198,0.3003640950728248,0.6680936776579738",265,33,2.8186128000000394
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,1,test,Prioritise3,0,cross,circle,square,triangle,"-0.0864279937772866,0.4533299305616785,0.40378459741649797","1.0,-0.19952917352700617,0.19318579588388318","0.8771865507724368,0.22170185938115816,-1.0","0.25011230249462657,0.4464347244570299,-1.0",224,336,89,143,"-0.0864279937772866,0.4533299305616785,0.40378459741649797",224,"-0.11850987372908683,0.4637398184337027,0.34737226103556385",219,161,2.063907400000005
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,2,test,NoPrioritise,2,cross,square,triangle,circle,"1.0,-0.030978196634575572,0.4572913763932509","-0.15601024525342333,0.4900377710624384,0.08414494382818494","1.0,-0.1694459751095364,-0.6968170409133772","1.0,0.12391818455152381,-1.0",313,199,34,74,"1.0,-0.1694459751095364,-0.6968170409133772",34,"0.8656291340184048,0.2277117481201254,-1.0",90,279,2.718253500000003
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,3,test,Prioritise2,1,triangle,circle,square,cross,"0.6646065852612066,0.3192149609683923,-1.0","-0.10043403746491275,0.49495767021285575,-0.14337977127983403","0.35968141037855483,0.3209804608831912,0.6599831247203418","1.0,-0.0855518419522695,0.38524161028667625",107,184,261,320,"-0.10043403746491275,0.49495767021285575,-0.14337977127983403",184,"-0.07663707943429687,0.49424057193593485,-0.2075945922293636",180,353,3.67424010000002
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,4,test,NoPrioritise,2,circle,triangle,cross,square,"0.1377313063497616,0.46869198128419454,-0.6923217342230605","0.8423878648894922,0.2395276862660105,-1.0","0.35968141037855483,0.3209804608831912,0.6599831247203418","1.0,-0.06852917744512788,-1.0",154,92,261,48,"0.35968141037855483,0.3209804608831912,0.6599831247203418",261,"0.38995744222104256,0.31083082350540914,0.6645497918058341",263,197,3.5786514000000125
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,5,test,NoPrioritise,2,circle,square,cross,triangle,"-0.07020697204541848,0.49392917223661503,-0.22388609625324785","0.8189948021797893,0.2510686603392729,-1.0","-0.10674528321075638,0.4597702151299572,0.3704541436797111","1.0,-0.28715474606071,-0.26149890951485844",179,94,221,8,"-0.10674528321075638,0.4597702151299572,0.3704541436797111",221,"0.09441071644993415,0.40170970408167506,0.5670564126145141",242,148,2.116391300000032
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,6,test,NoPrioritise,2,triangle,cross,square,circle,"-0.14097292288545527,0.4934633616179327,-0.004268922352566595","0.5902286499321849,0.2372037618456999,0.6692134526599127","0.7599790593392,0.278698430329378,-1.0","1.0,-0.20149881210311282,-0.6002331830476271",193,276,99,29,"0.7599790593392,0.278698430329378,-1.0",99,"0.03525654226328623,0.4183671124064994,0.5284836519992187",237,164,6.2726076999999805
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,7,test,NoPrioritise,1,circle,square,triangle,cross,"0.4665589352747248,0.2840716923699367,0.6714844115718321","0.9788490541088481,0.1646703741338249,-1.0","0.4981526525436166,0.3791643150394166,-1.0","1.0,-0.030978196634575572,0.4572913763932509",268,80,121,313,"0.9788490541088481,0.1646703741338249,-1.0",80,"1.0,-0.25349859092244853,0.058576446168723484",346,81,6.4075602000000345
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,8,test,Prioritise4,0,triangle,square,circle,cross,"-0.02724900693809007,0.43596400275120595,0.47511170232003863","0.9454860823634645,0.18425356693025585,-1.0","0.011345098196205106,0.4870029319956142,-0.41073039696963887","0.6670955436242052,0.20546863097446266,0.6594879335101997",231,83,168,281,"-0.02724900693809007,0.43596400275120595,0.47511170232003863",231,"0.6526534052453359,0.32395804637990677,-1.0",108,66,3.8581100000000106
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,9,test,Prioritise3,2,circle,triangle,cross,square,"0.3373683384989987,0.425614728337375,-1.0","-0.11280811015512238,0.4617870748317987,0.35899735609320693","0.8602068900008202,0.11507220116757,0.6052161878467197","1.0,-0.20571451687417974,0.18014638001872707",135,220,294,337,"0.8602068900008202,0.11507220116757,0.6052161878467197",294,"0.7726890832158932,0.15810653737494773,0.6353563968956581",288,205,2.0596775000000207
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,10,test,Prioritise1,0,circle,square,cross,triangle,"0.2081252941518954,0.4553611512282272,-0.9356957589344492","1.0,-0.28715474606071,-0.26149890951485844","0.4665589352747248,0.2840716923699367,0.6714844115718321","1.0,-0.04666697700988032,0.4375655321668761",147,8,268,315,"0.2081252941518954,0.4553611512282272,-0.9356957589344492",147,"0.09017416231209929,0.4764835565228893,-0.581140049938324",159,200,7.558699899999965
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,11,test,Prioritise1,0,square,circle,cross,triangle,"-0.15745197328482874,0.48927392525561153,0.09851328502402845","0.0809641014742315,0.4778728517952051,-0.560834903418019","0.6287517000804042,0.333230015934751,-1.0","1.0,-0.16269839246793216,-0.7181852224820324",200,160,110,35,"-0.15745197328482874,0.48927392525561153,0.09851328502402845",200,"-0.1160886962144162,0.49493957268076216,-0.09618366371381681",187,190,2.3103932000000214
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,12,test,NoPrioritise,3,triangle,cross,square,circle,"1.0,-0.23416809090988489,0.11348302116348141","0.6517915958318632,0.21196052870658733,0.661939301509457","1.0,-0.23006636068103248,-0.5135224369802548","0.1377313063497616,0.46869198128419454,-0.6923217342230605",342,280,24,154,"0.1377313063497616,0.46869198128419454,-0.6923217342230605",154,"-0.01269399205840449,0.48953144240138324,-0.3581525544909092",171,118,6.378197600000021
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,13,test,Prioritise4,1,square,triangle,circle,cross,"0.12802681261339854,0.47036395437091305,-0.6683938146358337","1.0,0.10990102188412854,-1.0","0.9165223056430671,0.08531838961047389,0.5804719469242157","0.058211064666331636,0.41192535001918484,0.5445760826660213",155,72,298,239,"1.0,0.10990102188412854,-1.0",72,"1.0,-0.14190666083918357,-0.7896703829265752",38,124,2.8417089999999234
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,14,test,Prioritise4,0,square,cross,triangle,circle,"1.0,-0.1694459751095364,-0.6968170409133772","0.8022226392771252,0.14399413187212562,0.6262603189685363","-0.1334211421392112,0.46921826779504494,0.31151742599586085","0.2607905457923898,0.44405077031286466,-1.0",34,290,216,142,"1.0,-0.1694459751095364,-0.6968170409133772",34,"0.28536486694739915,0.3449661378960809,0.6441272460635925",256,247,4.653332299999988
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,15,test,Prioritise3,1,cross,circle,triangle,square,"0.37106831880418345,0.41675617985472035,-1.0","0.5283655398475315,0.26125276704655587,0.6724040666408482","-0.1415152911985038,0.4725588943334964,0.2868282896334675","1.0,0.1513135807267587,-1.0",132,272,214,78,"0.5283655398475315,0.26125276704655587,0.6724040666408482",272,"-0.11109230792064029,0.494998675286374,-0.11182488810932678",186,193,5.9934972999999445
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,16,test,NoPrioritise,1,cross,triangle,circle,square,"1.0,-0.19533700364355222,-0.6185256211936343","-0.15601024525342333,0.4900377710624384,0.08414494382818494","0.10890282843090082,0.4735368131811257,-0.6233623294930688","0.6646065852612066,0.3192149609683923,-1.0",30,199,157,107,"-0.15601024525342333,0.4900377710624384,0.08414494382818494",199,"-0.12085421394465079,0.49482727509491764,-0.08063336981743141",188,244,3.846762500000068
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,17,test,Prioritise2,2,triangle,circle,square,cross,"0.9342399836420399,0.1906568045828605,-1.0","0.37478692104604905,0.3159453148278393,0.6623940312376342","1.0,-0.266139671692747,-0.3844942650329082","-0.020427730643879483,0.49026716567376205,-0.3409363637973366",84,262,16,172,"1.0,-0.266139671692747,-0.3844942650329082",16,"0.9566713411825642,0.17778746275501622,-1.0",82,39,3.2580712999999832
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,18,test,Prioritise2,2,circle,triangle,cross,square,"0.04661056885000425,0.4151827959781793,0.5366388806382338","-0.08288077159008311,0.49449913405181634,-0.1914000323192474","1.0,-0.10580765013847959,-0.9756165541078137","1.0,-0.13815640460244194,0.305409278040333",238,181,43,327,"1.0,-0.10580765013847959,-0.9756165541078137",43,"0.9026141269879491,0.09282770385166228,0.5869975937203944",297,170,2.4915256000000454
Pri_ET_Study1_5,M,0/0/1900,2022-07-11_13h49.44.662,19,test,Prioritise2,3,circle,cross,triangle,square,"0.3373683384989987,0.425614728337375,-1.0","1.0,-0.18904346603826983,-0.637249894721835","1.0,-0.15254529173699993,0.2813312795320311","-0.15425303278284086,0.49074605836511664,0.06966808771232391",135,31,329,198,"-0.15425303278284086,0.49074605836511664,0.06966808771232391",198,"0.05398205218015839,0.48170764156945833,-0.5023703861935837",163,145,3.6314628000000084
