id,gender,dob,date,n_trial,test_stage,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,response,response_angle,wheel_rotation,reaction_time
Pri_ET_Study1_3,M,0/0/1900,2022-07-07_10h53.12.221,1,practice_pri,Prioritise3,3,triangle,cross,square,circle,"1.0,-0.15254529173699993,0.2813312795320311","0.10691635848548953,0.39815526341168916,0.5740986907036785","0.38240568475417525,0.4136729392938614,-1.0","1.0,-0.18904346603826983,-0.637249894721835",329,243,131,31,"1.0,-0.18904346603826983,-0.637249894721835",31,"1.0,-0.2905679542092485,-0.21635494529981825",5,51,9.597755700000107
Pri_ET_Study1_3,M,0/0/1900,2022-07-07_10h53.12.221,2,practice_pri,Prioritise4,1,triangle,cross,circle,square,"1.0,-0.03828278687151976,-1.0","0.35978173682339754,0.41977397962065344,-1.0","-0.03545149328753128,0.4915787209123279,-0.3069086161051545","1.0,-0.15960027999342463,0.2690977661520819",52,133,174,330,"0.35978173682339754,0.41977397962065344,-1.0",133,"0.003196340864616065,0.48789947231709707,-0.3930376390559923",169,96,18.632295399999975
Pri_ET_Study1_3,M,0/0/1900,2022-07-07_10h53.12.221,3,practice_pri,NoPrioritise,1,triangle,square,cross,circle,"-0.14500574250124976,0.47413711311303364,0.2742570559677715","0.3446475566939091,0.32593623267112437,0.6573177271493604","1.0,-0.2583995670372059,-0.4160170008955538","0.984183681480933,0.0471694796759472,0.544551712303033",213,260,18,303,"0.3446475566939091,0.32593623267112437,0.6573177271493604",260,"1.0,0.12391818455152381,-1.0",74,10,8.085022199999912
Pri_ET_Study1_3,M,0/0/1900,2022-07-07_10h53.12.221,4,practice_pri,Prioritise1,0,square,cross,triangle,circle,"0.9709143462906737,0.05487098646765176,0.5521665648538059","-0.08288077159008311,0.49449913405181634,-0.1914000323192474","0.9342399836420399,0.1906568045828605,-1.0","-0.09355100115627091,0.45554214766479406,0.3928507547204487",302,181,84,223,"0.9709143462906737,0.05487098646765176,0.5521665648538059",302,"0.7481042841002781,0.28401253410301863,-1.0",100,79,2.3883539999999357
Pri_ET_Study1_3,M,0/0/1900,2022-07-07_10h53.12.221,5,practice_pri,Prioritise2,3,cross,square,circle,triangle,"1.0,-0.20571451687417974,0.18014638001872707","-0.12881863109484093,0.46745492896353924,0.32362925960524147","1.0,0.01469043779870538,-1.0","0.37106831880418345,0.41675617985472035,-1.0",337,217,59,132,"0.37106831880418345,0.41675617985472035,-1.0",132,"0.3373683384989987,0.425614728337375,-1.0",135,26,1.6705982999999378
Pri_ET_Study1_3,M,0/0/1900,2022-07-07_10h53.12.221,1,test,Prioritise2,3,triangle,square,cross,circle,"0.49743207809976986,0.2728177294164349,0.672458831583457","0.45139045294854396,0.393779284417197,-1.0","1.0,-0.19319706407583936,0.20612000948251996","1.0,-0.2696580629443429,-0.3688697412252795",270,125,335,15,"1.0,-0.2696580629443429,-0.3688697412252795",15,"1.0,-0.2897135245148047,-0.23135156862016248",6,297,2.0380678000001353
Pri_ET_Study1_3,M,0/0/1900,2022-07-07_10h53.12.221,2,test,Prioritise2,1,square,cross,triangle,circle,"0.4282253351913974,0.40067838587068505,-1.0","1.0,-0.24030349193845646,-0.4804258498410512","0.2419946445565604,0.35840841428502257,0.6316066564714324","1.0,0.12391818455152381,-1.0",127,22,253,74,"1.0,-0.24030349193845646,-0.4804258498410512",22,"1.0,-0.28545618498147696,-0.27665271730440133",9,257,4.090291799999932
Pri_ET_Study1_3,M,0/0/1900,2022-07-07_10h53.12.221,3,test,Prioritise4,3,triangle,circle,cross,square,"0.5453823652594301,0.36344457638027117,-1.0","-0.07663707943429687,0.49424057193593485,-0.2075945922293636","1.0,-0.10580765013847959,-0.9756165541078137","1.0,-0.2914084206358549,-0.1716625835351976",117,180,43,2,"1.0,-0.2914084206358549,-0.1716625835351976",2,"1.0,-0.29111130123666484,-0.15686324257888173",1,76,4.249563300000091
Pri_ET_Study1_3,M,0/0/1900,2022-07-07_10h53.12.221,4,test,Prioritise1,2,triangle,cross,circle,square,"0.7718332302050808,0.2733134055615505,-1.0","0.37478692104604905,0.3159453148278393,0.6623940312376342","1.0,-0.07007995956776203,0.4066709204115653","0.1377313063497616,0.46869198128419454,-0.6923217342230605",98,262,318,154,"1.0,-0.07007995956776203,0.4066709204115653",318,"0.03656203285471027,0.4839890544285097,-0.46499532916065",165,240,3.3083388000000014
Pri_ET_Study1_3,M,0/0/1900,2022-07-07_10h53.12.221,5,test,Prioritise1,2,triangle,circle,cross,square,"0.6364477477613335,0.21838082541010184,0.6641383826852352","1.0,-0.2885749142137033,-0.24639910949319843","1.0,0.12391818455152381,-1.0","-0.07020697204541848,0.49392917223661503,-0.22388609625324785",279,7,74,179,"1.0,0.12391818455152381,-1.0",74,"-0.11850987372908683,0.4637398184337027,0.34737226103556385",219,1,2.5133785999998963
